line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
ONEIDA TELEPHONE EXCHANGE,324-42035-4900-0022,2407949.68,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISES (FTTP) BROADBAND TO RESIDENTS IN PART OF KNOX COUNTY, ILLINOIS. THIS PROJECT WILL BUILD FTTP AND WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS OF 1 GBPS OR MORE TO EVERY LOCATION. THE ACTIVE ETHERNET ARCHITECTURE PROVIDES AN OPTICAL ETHERNET FIBER NETWORK FROM THE CENTRAL OFFICE TO AN ACTIVE ETHERNET NODE, THEN A DEDICATED FIBER CONNECTION",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
ONEIDA TELEPHONE EXCHANGE,324-42035-4900-0022,1757316.57,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISES (FTTP) BROADBAND TO RESIDENTS IN PART OF KNOX COUNTY, ILLINOIS. THIS PROJECT WILL BUILD FTTP AND WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS OF 1 GBPS OR MORE TO EVERY LOCATION. THE ACTIVE ETHERNET ARCHITECTURE PROVIDES AN OPTICAL ETHERNET FIBER NETWORK FROM THE CENTRAL OFFICE TO AN ACTIVE ETHERNET NODE, THEN A DEDICATED FIBER CONNECTION",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
PROTEK COMMUNICATIONS LLC,324-42035-4900-0022,298870.06,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TECHNOLOGY TO RESIDENTS WITHIN WILLIAMSON AND FRANKLIN COUNTIES, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
PROTEK COMMUNICATIONS LLC,324-42035-4900-0022,630524.50,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TECHNOLOGY TO RESIDENTS WITHIN WILLIAMSON AND FRANKLIN COUNTIES, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
PROTEK COMMUNICATIONS LLC,324-42035-4900-0022,4379670.55,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TECHNOLOGY TO RESIDENTS WITHIN FRANKLIN COUNTY, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SHELBY ELECTRIC COOPERATIVE,324-42035-4900-0022,9168028.28,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TO RESIDENTS IN CHRISTIAN AND SANGAMON COUNTIES.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SHELBY ELECTRIC COOPERATIVE,324-42035-4900-0022,7025347.23,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TO RESIDENTS IN CHRISTIAN AND NORTHERN SHELBY COUNTIES.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SHELBY ELECTRIC COOPERATIVE,324-42035-4900-0022,7794192.45,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TO RESIDENTS IN CHRISTIAN AND SANGAMON COUNTIES.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SHELBY ELECTRIC COOPERATIVE,324-42035-4900-0022,4109618.02,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-HOME (FTTH) BROADBAND TO RESIDENTS IN CHRISTIAN AND SHELBY COUNTIES. THIS PROJECT WILL UTILIZE XGS-PON FTTH ARCHITECTURE WHICH IS COMPLIANT WITH FSAN AND IEEE STANDARDS. THE PHYSICAL FIBER NETWORK WILL BE BASED ON THE OPTICAL REQUIREMENTS TO EFFECTIVELY IMPLEMENT AN FSAN AND IEEE-COMPLIANT NETWORK, UTILIZING CENTRALIZED OLT LOCATIONS, FEEDING ONT UNITS VIA SINGLE-MODE FIBER TO THE HOME OR BUSINESS.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
STRADA COMMUNICATIONS LLC,324-42035-4900-0022,869935.32,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY, ILLINOIS. THIS PROJECT WILL BUILD A NETWORK UTILIZING ACTIVE ETHERNET ARCHITECTURE THAT IMPLEMENTS DIRECT POINT-TO-POINT TECHNOLOGY WHILE USING STANDARD ETHERNET FRAMES IN WHICH NO TRANSITION PROTOCOL IS REQUIRED. THE NETWORK WILL OFFER BROADBAND SERVICES AT 1 GIGABIT PER SECOND SYMMETRICAL (UPSTREAM AND DOWNSTREAM) TO ALL",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
STRADA COMMUNICATIONS LLC,324-42035-4900-0022,1305125.57,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY, ILLINOIS. THIS PROJECT WILL BUILD A NETWORK UTILIZING ACTIVE ETHERNET ARCHITECTURE THAT IMPLEMENTS DIRECT POINT-TO-POINT TECHNOLOGY WHILE USING STANDARD ETHERNET FRAMES IN WHICH NO TRANSITION PROTOCOL IS REQUIRED. THE NETWORK WILL OFFER BROADBAND SERVICES AT 1 GIGABIT PER SECOND SYMMETRICAL (UPSTREAM AND DOWNSTREAM) TO ALL",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
STRADA COMMUNICATIONS LLC,324-42035-4900-0022,3384880.83,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF ROCK ISLAND COUNTY, ILLINOIS. THIS PROJECT WILL BUILD A NETWORK UTILIZING ACTIVE ETHERNET ARCHITECTURE THAT IMPLEMENTS DIRECT POINT-TO-POINT TECHNOLOGY WHILE USING STANDARD ETHERNET FRAMES IN WHICH NO TRANSITION PROTOCOL IS REQUIRED. THE NETWORK WILL OFFER BROADBAND SERVICES AT 1 GIGABIT PER SECOND SYMMETRICAL (UPSTREAM AND DOWNSTREAM) TO ALL",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SURF AIR WIRELESS LLC,324-42035-4900-0022,2856816.95,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COST ASSOCIATED BRINGING FIBER-TO-THE-HOME (FTTH) TECHNOLOGY TO THE NETWORKS WITHIN WHITESIDE, OGLE, AND LEE COUNTIES.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SURF AIR WIRELESS LLC,324-42035-4900-0022,4577173.61,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COST ASSOCIATED BRINGING FIBER-TO-THE-HOME (FTTH) TECHNOLOGY TO THE NETWORKS WITHIN GRUNDY AND LASALLE COUNTIES.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SURF AIR WIRELESS LLC,324-42035-4900-0022,489637.29,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COST ASSOCIATED BRINGING FIBER-TO-THE-HOME (FTTH) TECHNOLOGY TO THE NETWORKS WITHIN PUTNAM AND OGLE COUNTIES.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
VILLAGE OF TROY GROVE,324-42035-4900-0022,238282.54,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF LASALLE COUNTY. THIS PROJECT COMPRISES TWO NETWORKS; AN OPEN ACCESS MIDDLE MILE THAT WILL BE OWNED AND OPERATED BY IFIBER AND A LAST MILE NETWORK THAT WILL BE OWNED AND OPERATED BY RISE BROADBAND. IFIBER WILL BE PROVIDING NNI PORT: 10GBPS SERVICE TO RISE BROADBAND SO THAT THEY CAN PROVIDE A RANGE OF SPEEDS AT MINIMUM SYMMETRICAL SPEEDS OF 100MBPS AND MAXIMUM,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
WABASH TELEPHONE COOP INC,324-42035-4900-0022,3042381.91,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-PREMISES (FTTP) BROADBAND TECHNOLOGY TO RESIDENTS WITHIN SHELBY, MARION, AND FAYETTE COUNTIES, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
WABASH TELEPHONE COOP INC,324-42035-4900-0022,6232075.50,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-PREMISES (FTTP) BROADBAND TECHNOLOGY TO RESIDENTS WITHIN CLAY, RICHLAND, AND MARION COUNTIES, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
WABASH TELEPHONE COOP INC,324-42035-4900-0022,4261896.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-PREMISES (FTTP) BROADBAND TECHNOLOGY TO RESIDENTS WITHIN WAYNE COUNTY, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
WEST KENTUCKY RURAL TEL CO,324-42035-4900-0022,3302019.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF JACKSON COUNTY, ILLINOIS. THE PROJECT WILL BUILD FTTP PROVIDING SCALABLE SYMMETRICAL SERVICE UP TO 1 GBPS BY AERIAL CONSTRUCTION FOR BROADBAND CONNECTIVITY. THE FTTP SERVICE WILL PRIMARILY UTILIZE PASSIVE OPTICAL NETWORK (PON) ARCHITECTURE. XGS-PON [10 GIGABITS SYMMETRICAL PASSIVE OPTICAL NETWORK - ITU-T G.9807.1] BANDWIDTH IS COMPRISED OF 10/10 GBPS DEDICATED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CENTER FOR CHANGING LIVES,324-42035-4900-0022,8777.99,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING A RESOURCE DEVELOPMENT COACH LOCATED AT 1955 N. ST. LOUIS AVE, #101, CHICAGO, IL. PROVIDING A FOCUS ON ONE-ON-ONE GROUP COACHING TO COMMUNITY MEMBERS AND REACHING APPROXIMATELY 400 HOUSEHOLDS. THE GRANTEEKS FINANCIAL OPPORTUNITY CENTER MODEL IS A NATIONALLY RECOGNIZED COACHING MODEL THAT WILL INCLUDE FINANCIAL COACHING, EMPLOYMENT COACHING AND RESOURCE DEVELOPMENT COACHING.",lump_sum,1955 N. ST. LOUIS AVE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CHICAGO URBAN LEAGUE,324-42035-4900-0022,0.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING A DIGITAL LITERACY INSTRUCTOR HEADQUARTERED AT 4510 S. MICHIGAN AVENUE, CHICAGO, IL. THE INSTRUCTOR WILL FACILITATE TRAININGS TO ALL COMMUNITY MEMBERS, PROVIDING A FOCUS ADDRESSING THE CATEGORIES OF DIGITAL SKILL BUILDING AND COMMUNITY TECHNOLOGY CENTER ACCESS . TRAININGS WILL INCLUDE APPROXIMATELY 300 DROP-IN PATRON VISITS OF COURSE OF GRANT, APPROXIMATELY 114 BASIC DIGITAL LITERACY TRAINING, APPROXIMATELY 42 ADVANCED DIGITAL LITERACY TRAINING, AND",lump_sum,4510 S. MICHIGAN AVENUE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
DIGITAL LATINX LEADERS NOW,324-42035-4900-0022,19127.09,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH FACILITATING AWARENESS AND ENROLLMENT AS WELL AS OUTREACH AND ADOPTION ADMINISTERED BY STAFF HEADQUARTERED AT 1901 S. CALUMET AVE. UNIT 2405, CHICAGO, IL. WITH THESE FUNDS, THE GRANTEE WILL PROVIDE ON THE GROUND SUPPORT TO COMMUNITY MEMBERS TO FACILITATE ENROLLMENT IN ACP AND DIGITAL SKILL BUILDING PROGRAMS.",lump_sum,1901 S. CALUMET AVE.,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
METROPOLITAN FAMILY SERVICES,324-42035-4900-0022,22078.14,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING SKILLED PERSONNEL, IMPLEMENTING STRATEGIC ACTIVITIES, AND EXPANDING EXISTING SUCCESSFUL PROGRAMS ADMINISTERED BY A STAFF HEADQUARTERED AT 101 NORTH WACKER STE. 1700, CHICAGO, IL. WITH THESE FUNDS, THE GRANTEE WILL ADDRESS DIGITAL EQUITY CONCERNS AT TWO SITES; MURRAY HOMES PUBLIC HOUSING DEVELOPMENT AND THE FINANCIAL OPPORTUNITY CENTER.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
NORTHWEST SIDE HOUSING CENTER,324-42035-4900-0022,8014.43,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH PROVIDING DIGITAL LITERACY AND ACP ENROLLMENT COURSES BY STAFF BASED IN THE HEADQUARTERS AT 5233 W. DIVERSEY, CHICAGO, IL. THIS PROJECT WILL REQUIRE HIRING SKILLED PERSONNEL, IMPLEMENTING STRATEGIC ACTIVITIES, AND EXPANDING EXISTING SUCCESSFUL PROGRAMS. THE PROGRAM MANAGER WILL PROVIDE SUPERVISION, OVERSEE DIGITAL COACHESK WORK PLANS, COVER CLASSES OR MEETINGS WHEN COACHES ARE NOT AVAILABLE, AND PROVIDE SUPPORT WITH THE ADMINISTRATION OF GRANT",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CHICAGO CITYWIDE LITERACY,324-42035-4900-0022,0.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH PAYING AN EDUCATIONAL TECH DIRECTOR AND EIGHT CAREER PATHWAYS NAVIGATORS ADMINISTERED BY A STAFF HEADQUARTERED AT 1016 W. JACKSON BLVD., CHICAGO, IL. WITH THESE GRANT FUNDS, THE GRANTEE WILL ADDRESS DIGITAL LITERACY AND CONNECTIVITY GAPS IN COOK COUNTY BY SPREADING AWARENESS OF THE ACP AND DEPLOY THE TEAM TO OFFER DUAL SERVICES IN CAREER PATHWAYS AND DIGITAL LITERACY ACCESS. THE GOALS FOR THIS GRANTEE WITH THESE FUNDS ARE TO REACH 2,000 INDIVIDUALS REGARDING ACP",lump_sum,1016 W. JACKSON BLVD.,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
SOUTHWEST ORGANIZING PROJECT,324-42035-4900-0022,0.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH CARRYING OUT AN ACP OUTREACH AND DIGITAL LITERACY TRAINING EFFORTS IN THE SOUTHWEST CHICAGO COMMUNITIES ADMINISTERED BY STAFF HEADQUARTERED AT 2558 W. 63RD ST., CHICAGO, IL. THE GRANTEE WILL PROVIDE APPROXIMATELY TWO ACP OUTREACH EVENTS PER WEEK TO DISCUSS THE PROGRAM. THIS WILL INCLUDE WORKING WITH MEMBER INSTITUTIONS, LOCAL NON-PROFITS AND RELIGIOUS INSTITUTIONS, TO INFORM AND RECRUIT FAMILIES INTO THE AFFORDABLE CONNECTIVITY PROGRAM AND TO PROVIDE",lump_sum,2558 W. 63RD ST.,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
TCA HEALTH INC NFP,324-42035-4900-0022,17423.13,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING SKILLED PERSONNEL TO CONDUCT OUTREACH AND MARKETING AS WELL AS SUPERVISING STAFF ADMINISTERED BY A STAFF HEADQUARTERED AT 1029 E. 130TH STREET, CHICAGO, IL. THE GRANTEE WILL ESTABLISH TWO KICKSTARTER COMPUTER TECHNOLOGY CENTERS THAT WILL WORK ALONGSIDE THEIR SNAP AND TANF PROGRAMS. THESE TWO PROGRAMS WILL FOCUS ON DIGITAL SKILLS BUILDING AND ENSURING DEVICE ACCESS. THE DEVICES WILL BE ABLE TO BE TAKEN HOME TO BE USED FOR JOB SEARCHES AND",lump_sum,1029 E. 130TH STREET,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
TEAGUE INTERNATIONAL CORP,324-42035-4900-0022,31304.35,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING CONTRACTORS, IMPLEMENTING STRATEGIC ACTIVITIES, AND EXPANDING EXISTING SUCCESSFUL PROGRAMS ADMINISTERED BY A STAFF HEADQUARTERED AT 2 E. MAIN STREET STE. 36, DANVILLE, IL. THE PURPOSE OF THESE FUNDS WILL BE TO TRAIN, DEVELOP AND COACH ENTREPRENEURS IN VERMILLION COUNTY AND THE CITY OF DANVILLE TO COMPETE IN THE ILLINOIS AND NATIONAL DIGITAL ECONOMY.",lump_sum,2 E. MAIN STREET,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
THE CENTER RESOURCES FOR,324-42035-4900-0022,0.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING SKILLED PERSONNEL, IMPLEMENTING STRATEGIC ACTIVITIES, AND EXPANDING EXISTING SUCCESSFUL PROGRAMS ADMINISTERED BY A STAFF HEADQUARTERED AT 2626 S. CLEARBROOK, ARLINGTON HEIGHTS, IL. THE FUNDS WILL HELP WITH THE FOLLOWING GOALS: HIRE AND TRAIN A BILINGUAL COMMUNITY MEMBER TO WORK WITH THE COMMUNITY NAVIGATOR, REACH APPROXIMATELY 5,000 PEOPLE THROUGH FLYERS, POSTERS AND SOCIAL MEDIA, 1,000 FACE-TO-FACE ENCOUNTERS TO SHARE INFORMATION ABOUT ACP,",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
THE QUILT CORPORATION NFP INC,324-42035-4900-0022,8232.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING SKILLED PERSONNEL, IMPLEMENTING STRATEGIC ACTIVITIES, AND EXPANDING EXISTING SUCCESSFUL PROGRAMS ADMINISTERED BY A STAFF HEADQUARTERED AT 4308 AYRSHIRE CT., NAPERVILLE, IL. WITH THESE FUNDS, THE GRANTEE WILL STRATEGICALLY ENGAGE WITH LOCAL RESIDENTS TO ENSURE COMPREHENSIVE AND EQUITABLE DIGITAL INCLUSION. THE COMPONENTS OF THIS PROJECT WILL INCLUDE OUTREACH AND ADOPTION, DIGITAL LITERACY, WORKFORCE DEVELOPMENT PATHWAYS,",lump_sum,4308 AYRSHIRE CT.,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
THE QUILT CORPORATION NFP INC,324-42035-4900-0022,8337.00,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH HIRING SKILLED PERSONNEL, IMPLEMENTING STRATEGIC ACTIVITIES, AND EXPANDING EXISTING SUCCESSFUL PROGRAMS ADMINISTERED BY A STAFF HEADQUARTERED AT 4308 AYRSHIRE CT., NAPERVILLE, IL. WITH THESE FUNDS, THE GRANTEE WILL STRATEGICALLY ENGAGE WITH LOCAL RESIDENTS TO ENSURE COMPREHENSIVE AND EQUITABLE DIGITAL INCLUSION. THE COMPONENTS OF THIS PROJECT WILL INCLUDE OUTREACH AND ADOPTION, DIGITAL LITERACY, WORKFORCE DEVELOPMENT PATHWAYS,",lump_sum,4308 AYRSHIRE CT.,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
ASIAN HMN SVCS OF CHICAGO INC,324-42035-4900-0022,30144.20,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH DIGITAL LEARNING ADMINISTERED BY GRANTEE STAFF AND THE PURCHASE OF NEW COMPUTERS AND SOFTWARE TO FACILITATE DIGITAL LEARNING IN COOK COUNTY, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
ASSOCIATION HOUSE OF CHICAGO,324-42035-4900-0022,5135.88,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH PROVIDING DIGITAL LEARNING ADMINISTERED BY A STAFF HEADQUARTERED AT 1116 N. KEDZIE AVENUE, CHICAGO, IL. THE PROJECT WILL BE THE CONTINUATION OF THE TECHREADY PROGRAM THAT HAS DEMONSTRATED SUCCESS IN PROVIDING DIGITAL LITERACY AND TECHNOLOGY TRAINING. PARTICIPANTS WILL RECEIVE ACCESS TO IN-PERSON, VIRTUAL, AND HYBRID OPTIONS ON MULTIPLE COURSES AVAILABLE.",lump_sum,1116 N. KEDZIE AVENUE,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CITY OF CARLINVILLE,324-42035-4900-0022,6347.96,"THIS GRANT-FUNDED PROJECT WILL INCLUDE ALL COSTS ASSOCIATED WITH GRANTEE STAFF PROVIDING DIGITAL LEARNING CLASSES AND ON-ON-ONE TRAININGS TO ALL PATRONS OF THE LIBRARY, AS WELL AS THE PURCHASE OF A VARIETY OF COMPUTER HARDWARE AND SOFTWARE TO IMPLEMENT TRAINING FOR RESIDENTS IN MACOUPIN COUNTY, IL.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
